file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
components/useLogout.ts,components/useLogout.ts,2026-04-01T11:27:28+07:00,2026-05-06T23:50:05+07:00,4,4,1,0.00,
current_sonar_issues.json,current_sonar_issues.json,2026-03-13T07:16:25+07:00,2026-03-18T12:01:52+07:00,2,2,1,0.00,
db-push-dev.bat,db-push-dev.bat,2026-04-09T13:44:30+07:00,2026-04-26T16:31:35+07:00,2,2,1,0.00,
db-studio-dev.bat,db-studio-dev.bat,2026-04-09T13:44:30+07:00,2026-04-26T16:31:35+07:00,2,2,1,0.00,
deploy-web.bat,deploy-web.bat,2026-04-09T13:44:30+07:00,2026-04-26T16:31:35+07:00,2,2,1,0.00,
dev-web.bat,dev-web.bat,2026-04-09T13:44:30+07:00,2026-04-26T16:31:35+07:00,2,2,1,0.00,
docker-compose.yml,docker-compose.yml,2026-03-11T09:07:26+07:00,2026-04-30T14:10:22+07:00,4,4,1,0.80,deploy
docs/AGENTS.md,docs/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-29T21:27:31+07:00,2,2,1,0.00,
docs/ai-workflow.md,docs/ai-workflow.md,2026-05-06T23:50:05+07:00,2026-05-06T23:50:05+07:00,1,1,1,0.00,
docs/database-cleanup-plan.md,docs/database-cleanup-plan.md,2026-04-09T17:19:07+07:00,2026-04-26T16:31:35+07:00,2,2,1,0.00,
docs/database/AGENTS.md,docs/database/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
docs/database/cleanup-plan.md,docs/database/cleanup-plan.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
docs/database/sql/AGENTS.md,docs/database/sql/AGENTS.md,2026-04-26T16:31:35+07:00,2026-04-26T16:31:35+07:00,1,1,1,0.00,
docs/incident-commerce-runbook.md,docs/incident-commerce-runbook.md,2026-04-06T23:35:28+07:00,2026-04-26T16:31:35+07:00,2,2,1,0.00,
docs/planning/project-requirements.md,docs/planning/project-requirements.md,2026-04-29T21:27:31+07:00,2026-04-29T21:27:31+07:00,1,1,1,0.00,
docs/planning/project-roadmap.md,docs/planning/project-roadmap.md,2026-04-29T21:27:31+07:00,2026-04-29T21:27:31+07:00,1,1,1,0.00,
docs/planning/shared-layer-audit.md,docs/planning/shared-layer-audit.md,2026-05-20T10:52:30+07:00,2026-05-20T18:06:05+07:00,2,2,1,0.00,
docs/planning/shop-testing-plan.md,docs/planning/shop-testing-plan.md,2026-04-29T21:27:31+07:00,2026-04-29T21:27:31+07:00,1,1,1,0.00,
